bar,timestamp,side,entry,exit,size,pnl,bars_held,confidence
1809,1782094860000,long,63674.9,64505.5,0.006995789290014762,4.914,39,LOW
1854,1782102960000,short,64500.0,63995.2,0.006944390282482933,2.6132,44,HIGH
1858,1782103680000,short,63929.1,64045.0,0.006972008814510726,-1.7003,3,LOW
1885,1782108540000,long,64044.2,64204.1,0.006958821537905447,0.2203,25,MEDIUM
1906,1782112320000,short,64194.2,64178.3,0.006944276704184486,-0.781,20,HIGH
1922,1782115200000,long,64217.2,64123.1,0.006933988923892002,-1.5424,15,MEDIUM
1936,1782117720000,short,64089.8,64231.9,0.006935739450507629,-1.8756,13,MEDIUM
1945,1782119340000,short,64101.8,64165.9,0.006935186462542071,-1.3341,8,LOW
1965,1782122940000,short,64153.2,64216.4,0.006926161564854023,-1.3268,19,HIGH
1974,1782124560000,long,64188.0,64092.9,0.006918890454805176,-1.5455,8,MEDIUM
1983,1782126180000,short,64070.8,64281.0,0.006919485421200246,-2.3426,8,HIGH
1999,1782129060000,long,64281.7,64614.0,0.0069011886779279715,1.4037,15,FORCED_CLOSE
